country,year,Anxiety Disorder
AFG,1990,5.028167324
AFG,1991,5.026880594
AFG,1992,5.025292219
AFG,1993,5.023633058
AFG,1994,5.022830559
AFG,1995,5.023022428
AFG,1996,5.020851448
AFG,1997,5.020190689
AFG,1998,5.01995118
AFG,1999,5.019021831
AFG,2000,5.01806358
AFG,2001,5.016437238
AFG,2002,5.014961305
AFG,2003,5.013226932
AFG,2004,5.012124135
AFG,2005,5.012645923
AFG,2006,5.015144205
AFG,2007,5.01788541
AFG,2008,5.021338219
AFG,2009,5.024296804
AFG,2010,5.026856844
AFG,2011,5.026278507
AFG,2012,5.02521908
AFG,2013,5.023888087
AFG,2014,5.022597239
AFG,2015,5.021705109
AFG,2016,5.023055378
ALB,1990,3.478037838
ALB,1991,3.483325662
ALB,1992,3.491644917
ALB,1993,3.501024753
ALB,1994,3.508809794
ALB,1995,3.514154931
ALB,1996,3.513242552
ALB,1997,3.508765635
ALB,1998,3.502293653
ALB,1999,3.496205636
ALB,2000,3.492672605
ALB,2001,3.496312164
ALB,2002,3.502179858
ALB,2003,3.509322986
ALB,2004,3.516189855
ALB,2005,3.522282901
ALB,2006,3.526719242
ALB,2007,3.529396713
ALB,2008,3.530797872
ALB,2009,3.532371291
ALB,2010,3.535348058
ALB,2011,3.538405561
ALB,2012,3.543179161
ALB,2013,3.548410801
ALB,2014,3.55279052
ALB,2015,3.5562523
ALB,2016,3.557997277
DZA,1990,5.161256733
DZA,1991,5.164403064
DZA,1992,5.168082023
DZA,1993,5.171341969
DZA,1994,5.174372512
DZA,1995,5.177316258
DZA,1996,5.177893271
DZA,1997,5.17895619
DZA,1998,5.179616503
DZA,1999,5.180820019
DZA,2000,5.182275179
DZA,2001,5.187963672
DZA,2002,5.194353273
DZA,2003,5.19973336
DZA,2004,5.205037638
DZA,2005,5.209969644
DZA,2006,5.21739734
DZA,2007,5.224009246
DZA,2008,5.230575207
DZA,2009,5.237160607
DZA,2010,5.243570933
DZA,2011,5.24478796
DZA,2012,5.245723989
DZA,2013,5.247158474
DZA,2014,5.247763527
DZA,2015,5.248858733
DZA,2016,5.249814553
ASM,1990,3.493153189
ASM,1991,3.498110423
ASM,1992,3.502896444
ASM,1993,3.507992092
ASM,1994,3.512565191
ASM,1995,3.517562209
ASM,1996,3.521066954
ASM,1997,3.524618279
ASM,1998,3.52832193
ASM,1999,3.53202973
ASM,2000,3.535523968
ASM,2001,3.539393349
ASM,2002,3.543032283
ASM,2003,3.546471824
ASM,2004,3.549801145
ASM,2005,3.553043322
ASM,2006,3.556562388
ASM,2007,3.559597325
ASM,2008,3.56293194
ASM,2009,3.565965263
ASM,2010,3.569294084
ASM,2011,3.571499487
ASM,2012,3.573695048
ASM,2013,3.576298542
ASM,2014,3.578534115
ASM,2015,3.580673603
ASM,2016,3.582901445
,1990,4.155985697
,1991,4.159569065
,1992,4.163085375
,1993,4.166556761
,1994,4.169774513
,1995,4.172444347
,1996,4.174496988
,1997,4.176539086
,1998,4.178251547
,1999,4.179701864
,2000,4.18170108
,2001,4.183503173
,2002,4.185982371
,2003,4.188472527
,2004,4.190691699
,2005,4.193020855
,2006,4.195902612
,2007,4.198270799
,2008,4.200863101
,2009,4.203308614
,2010,4.206025911
,2011,4.208371367
,2012,4.210992562
,2013,4.213189192
