,Code,Year,Work hours per persons engaged (hours per person engaged)
0,ARG,1950,2034.0
1,ARG,1951,2037.8667525967953
2,ARG,1952,2041.740856115736
3,ARG,1953,2045.622324531354
4,ARG,1954,2049.511171844748
5,ARG,1955,2053.4074120836317
6,ARG,1956,2057.311059302389
7,ARG,1957,2061.2221275821203
8,ARG,1958,2065.1406310306947
9,ARG,1959,2069.066583782801
10,ARG,1960,2073.0000000000005
11,ARG,1961,2066.2005116511955
12,ARG,1962,2059.4233257827595
13,ARG,1963,2052.6683692420384
14,ARG,1964,2045.9355691163169
15,ARG,1965,2039.2248527320367
16,ARG,1966,2032.5361476540131
17,ARG,1967,2025.8693816846453
18,ARG,1968,2019.2244828631478
19,ARG,1969,2012.6013794647645
20,ARG,1970,2006.0
21,ARG,1971,2002.661112336839
22,ARG,1972,1999.327782086852
23,ARG,1973,1996.0
24,ARG,1974,1992.8421947373226
25,ARG,1975,1989.689385333402
26,ARG,1976,1986.5415638844556
27,ARG,1977,1983.398722499205
28,ARG,1978,1980.2608532988565
29,ARG,1979,1977.1279484170832
30,ARG,1980,1974.0
31,ARG,1981,1961.230056664269
32,ARG,1982,1948.5427229804104
33,ARG,1983,1935.9374645408404
34,ARG,1984,1923.4137503950928
35,ARG,1985,1910.9710530274576
36,ARG,1986,1898.6088483347605
37,ARG,1987,1886.326615604288
38,ARG,1988,1874.1238374918523
39,ARG,1989,1862.0
40,ARG,1990,1850.0
41,ARG,1991,1837.960826568401
42,ARG,1992,1826.0
43,ARG,1993,1850.337806996333
44,ARG,1994,1875.0
45,ARG,1995,1897.2166392706952
46,ARG,1996,1846.067007791064
47,ARG,1997,1917.293327347842
48,ARG,1998,1903.0
49,ARG,1999,1893.2493975810455
50,ARG,2000,1861.002526951259
51,ARG,2001,1803.4238968719928
52,ARG,2002,1610.5730944383258
53,ARG,2003,1719.3931762309876
54,ARG,2004,1739.6747045492236
55,ARG,2005,1755.3493111271375
56,ARG,2006,1809.428125799165
57,ARG,2007,1816.903073836245
58,ARG,2008,1835.884146610349
59,ARG,2009,1736.9069606175892
60,ARG,2010,1728.7286751005083
61,ARG,2011,1762.290766311221
62,ARG,2012,1788.985879558639
63,ARG,2013,1776.6592834575424
64,ARG,2014,1776.6592834575424
65,ARM,2009,1826.0
66,ARM,2010,1873.0
67,ARM,2011,1842.0
68,ARM,2012,1842.0
69,ARM,2013,1842.0
70,ARM,2014,1842.0
71,AUS,1950,2309.2781672460887
72,AUS,1951,2287.9221986727107
73,AUS,1952,2266.763727914961
74,AUS,1953,2245.800928533215
75,AUS,1954,2225.0319909785794
76,AUS,1955,2204.455122436681
77,AUS,1956,2184.068546672913
78,AUS,1957,2163.8705038791018
79,AUS,1958,2143.859250521604
80,AUS,1959,2124.033059190793
81,AUS,1960,2104.3902184519548
82,AUS,1961,2098.294455670503
83,AUS,1962,2092.2163504145246
84,AUS,1963,2086.1558515356696
85,AUS,1964,2080.1129080337496
86,AUS,1965,2074.087469056307
87,AUS,1966,2068.0794838981888
88,AUS,1967,2062.0889020011186
89,AUS,1968,2056.1156729532713
90,AUS,1969,2050.1597464888496
91,AUS,1970,2044.2210724876609
92,AUS,1971,2039.8940916558008
93,AUS,1972,2035.8999555033145
94,AUS,1973,2031.7948711243705
95,AUS,1974,2027.689786745426
96,AUS,1975,2023.69565059294
97,AUS,1976,2019.7015144404545
98,AUS,1977,2015.3745336085944
99,AUS,1978,2011.3803974561083
100,AUS,1979,2034.1247838799875
101,AUS,1980,2021.0243407950486
102,AUS,1981,1997.250293311451
103,AUS,1982,1958.7574119336734
104,AUS,1983,1981.132033793362
105,AUS,1984,1986.2817057646573
106,AUS,1985,2002.1350975393127
107,AUS,1986,1977.425987304084
108,AUS,1987,1990.3905316797866
109,AUS,1988,1999.474993384493
110,AUS,1989,1987.891383104791
111,AUS,1990,1967.7582065652523
112,AUS,1991,1962.1704981166495
113,AUS,1992,1971.2737828930515
114,AUS,1993,1981.617834178783
115,AUS,1994,1995.4550586837024
116,AUS,1995,1994.1747188139057
117,AUS,1996,1982.1111250470333
118,AUS,1997,1980.6574160302973
119,AUS,1998,1978.1072636298254
120,AUS,1999,1983.2702463600788
121,AUS,2000,1968.5786645976373
122,AUS,2001,1925.452992922433
123,AUS,2002,1904.0441794053415
124,AUS,2003,1904.3623466257666
125,AUS,2004,1905.5283497203257
126,AUS,2005,1890.8676892575781
127,AUS,2006,1872.078446248388
128,AUS,2007,1863.4141077209852
129,AUS,2008,1842.34082401483
130,AUS,2009,1822.593639409239
131,AUS,2010,1816.4449135831112
132,AUS,2011,1814.0582987669754
133,AUS,2012,1808.0874931400986
134,AUS,2013,1801.6560647855804
135,AUS,2014,1803.0612732870325
136,AUT,1950,2096.2508730986224
137,AUT,1951,2093.5835122487724
138,AUT,1952,2090.919545464965
139,AUT,1953,2088.2589684284408
140,AUT,1954,2085.60177682594
141,AUT,1955,2082.947966349687
142,AUT,1956,2080.2975326973906
143,AUT,1957,2077.650471572233
144,AUT,1958,2075.006778682865
