country,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year"
AFG,3.130895615,7.484583378,0.525568426,51.37052536,0.508514047,0.118579052,0.871241987,0.531691492,0.374860734,0.409047514,-1.77325666,-1.312502503,1.395396113,0.445685923,,,0.413973927
ALB,4.813763142,9.278097153,0.625586927,68.51210022,0.734648407,-0.030552704,0.882704437,0.684910536,0.334542662,0.49878639,0.314873487,-0.187407121,2.660069466,0.552596688,,0.30325,0.417218775
DZA,6.354898453,9.509209633,0.818189442,65.13015747,,,,0.62590462,0.176866099,,-1.002866626,-0.783428013,1.632460713,0.25688228,,0.276,0.47549203
ARG,6.671114445,9.841482162,0.917870402,67.11812592,0.745057762,-0.1645291,0.854191601,0.857123733,0.237912863,0.408961415,0.170099333,-0.665261686,2.129255772,0.319175422,0.427,0.476066667,0.310103148
ARM,4.453083038,8.983579636,0.738763511,64.63682556,0.506487131,-0.206606939,0.920390487,0.580959857,0.403984338,0.214914635,-0.429609388,-0.218632609,2.137263775,0.479951471,0.315,0.325066667,0.388721585
AUS,7.288550377,10.67811298,0.92379874,72.38433838,0.922932267,0.303706735,0.44202137,0.775209963,0.245304301,0.464676231,1.196954012,1.81184423,1.795415401,0.246333674,,0.34275,0.451516807
AUT,6.949999809,10.69957161,0.898920476,71.42971802,0.885026872,0.108960405,0.566931307,0.779692769,0.17014955,0.407695413,1.331010818,1.621878743,1.836291671,0.264214635,0.305,0.303818182,0.344870776
AZE,5.25153017,9.724067688,0.799433351,62.7591629,0.732772946,-0.232240036,0.65384531,0.597627223,0.219982117,0.778209925,-1.019543648,-0.582985878,1.473186493,0.280525178,,0.228833333,0.254078448
BHR,6.165133953,10.688241,,65.76468658,,,,,,,-1.109268785,0.491515696,2.422525406,0.392939627,,,0.463821948
BGD,4.635564804,7.997340679,0.577065051,61.60427856,0.735512853,-0.09152592,0.789374709,,0.230678365,0.719101429,-0.684746444,-0.84198302,1.897618651,0.409360826,,0.329,0.393071204
BLR,5.812400818,9.795022964,0.880258858,64.86287689,0.647184551,-0.06007617,0.68150872,0.618929267,0.208535567,0.507746696,-0.631544709,-0.659978867,1.884241223,0.324176073,0.272,0.281875,0.263802916
BEL,6.855329037,10.63065338,0.943549156,72.14292908,0.86095351,-0.008175617,0.511975765,0.797633767,0.251557052,0.469111621,1.033804297,1.40902257,1.681074142,0.245221511,0.281,0.285181818,0.402563632
BLZ,5.955646515,8.987882614,0.756932497,58.92390823,0.873569071,0.003250329,0.782105386,0.754977345,0.281604409,0.384267181,0.284335703,-0.524305463,2.455256701,0.412256956,,,0.446025997
BEN,3.347419262,7.601466656,0.506091297,51.11705399,0.775545776,-0.070210017,0.854826927,0.589645088,0.273385257,0.574232161,0.14672102,-0.549206376,1.68771112,0.504182756,,0.432666667,0.514151752
BTN,4.938578129,8.904687881,0.880341947,60.2303009,0.834222496,0.275819212,0.650338471,0.858864307,0.324097872,0.958492339,0.482542783,0.229389429,0.991038561,0.20067285,,0.412333333,0.471103579
BIH,5.248954296,9.260712624,0.787651718,67.52626038,0.411937386,0.229637861,0.976339638,0.531435847,0.262175202,0.095099099,-0.04507716,-0.258664042,2.243072033,0.427336931,,0.32725,0.438962758
BWA,4.031197071,9.674996376,0.859477818,55.30326843,0.791371226,-0.114532627,0.743073821,0.674190462,0.245051414,0.707628131,0.723632157,0.606363952,2.363683701,0.586347818,,0.626,0.621809065
BRA,6.980998993,9.640237808,0.898316443,64.82875061,0.713814318,-0.128697455,0.710303426,0.788229942,0.273540527,0.355228692,0.200818881,-0.15146631,2.107698202,0.301919281,0.515,0.550214286,0.394136488
BGR,4.438439846,9.699056625,0.885949194,66.4154892,0.575595915,-0.060511671,0.954636931,0.627810121,0.235593721,0.140402734,0.222501963,0.08854121,1.997746468,0.450101048,0.374,0.354666667,0.385362953
BFA,3.481347799,7.366656303,0.742262065,51.18559647,0.709964514,0.008610918,0.800757825,0.613731802,0.255644113,0.54308641,-0.569490254,-0.474964172,2.151571989,0.618028462,0.353,0.394666667,0.692569435
KHM,3.88330555,8.046971321,0.693434179,57.70112228,0.937544584,0.239137441,0.842555106,0.783240318,0.481934011,0.696742117,-0.542288065,-0.801274061,2.572756767,0.66251719,,,0.541756451
CMR,4.240441322,8.069768906,0.777777076,48.93240356,0.794645548,-0.073379904,0.855849743,0.622732699,0.216039628,0.609312952,-1.00179708,-0.934020281,2.110923052,0.497807384,0.465,0.438,0.586360455
CAN,7.30425787,10.66770744,0.917836308,71.95877075,0.93889761,0.256026924,0.441735327,0.833403885,0.258602411,0.516953588,1.293931961,1.833163381,1.759425759,0.240876734,,0.3368,0.679011106
TCD,3.460182905,7.638511181,0.733066797,45.01896667,0.566795349,-0.080542579,0.880934,0.536371291,0.328528851,0.366833448,-1.44996798,-1.277309537,1.61113441,0.465621173,,0.4155,0.499015778
CHL,6.844238281,10.00903797,0.861552179,69.09392548,0.733326375,0.203350574,0.758497715,0.86981076,0.276103258,0.399530023,0.751715839,1.394348741,2.064368248,0.301621318,,0.491571429,0.426405013
CHN,5.195619106,9.453964233,0.820366025,68.86785889,,-0.235745564,,0.853974998,0.111517705,,-1.069626093,-0.178662673,1.783343315,0.343239814,,0.425,0.459674537
COL,6.44878912,9.450613976,0.907402635,63.67808533,0.801191449,-0.09758582,0.886645734,0.84708029,0.278056443,0.298372507,-0.578955114,-0.06621252,2.298457146,0.356416851,0.535,0.5525,0.465678215
CRI,7.247086048,9.574430466,0.914211214,69.36408997,0.926707387,0.009079852,0.788037479,0.83678627,0.289528906,0.40445292,0.857882202,0.556848884,2.1874156,0.301833808,0.485,0.4913125,0.549096227
HRV,5.380692482,9.910268784,0.645697773,67.54496765,0.518878043,0.126743644,0.917735159,0.59617871,0.285895109,0.15500845,0.567026317,0.406689763,1.938131213,0.360201061,0.322,0.323333333,0.350669622
CYP,5.627123833,10.29927731,0.770175993,72.3052597,0.715065658,0.04819271,0.868237555,0.737284124,0.397172987,0.244740322,0.785926223,1.098010421,2.480685711,0.440844357,0.356,0.324909091,0.445258856
CZE,6.483729839,10.27916718,0.877915204,69.72926331,0.800421,-0.175156444,0.896880686,0.678406954,0.235220566,0.339732826,1.008329034,0.885882437,2.031708002,0.31335482,0.259,0.264727273,0.244812816
