,Code,Year,Prevalence - Mental and substance use disorders - Sex: Both - Age: Age-standardized (Percent) (%)
0,AFG,1990,17.577022209099994
1,AFG,1991,17.6257701706
2,AFG,1992,17.6943934253
3,AFG,1993,17.7463691264
4,AFG,1994,17.8033740827
5,AFG,1995,17.8641279544
6,AFG,1996,17.881502626099998
7,AFG,1997,17.893192527900005
8,AFG,1998,17.903416208099998
9,AFG,1999,17.9227799381
10,AFG,2000,17.949184413599998
11,AFG,2001,17.924924641500002
12,AFG,2002,17.918237866600002
13,AFG,2003,17.9127999317
14,AFG,2004,17.9033743527
15,AFG,2005,17.9021629639
16,AFG,2006,17.8752325642
17,AFG,2007,17.848682525199994
18,AFG,2008,17.8130675594
19,AFG,2009,17.787380977
20,AFG,2010,17.7696857573
21,AFG,2011,17.737149229499995
22,AFG,2012,17.7194783963
23,AFG,2013,17.6974946894
24,AFG,2014,17.678129621900002
25,AFG,2015,17.6484127912
26,AFG,2016,17.637605433199997
27,ALB,1990,13.710771088
28,ALB,1991,13.719067320899999
29,ALB,1992,13.737011729
30,ALB,1993,13.7515194821
31,ALB,1994,13.771431431400002
32,ALB,1995,13.793585735999999
33,ALB,1996,13.795559358
34,ALB,1997,13.788475748500002
35,ALB,1998,13.799132054500001
36,ALB,1999,13.797663986500002
37,ALB,2000,13.794851931300002
38,ALB,2001,13.7879070347
39,ALB,2002,13.7848860808
40,ALB,2003,13.785610818499999
41,ALB,2004,13.7853279344
42,ALB,2005,13.787191592100001
43,ALB,2006,13.7871328753
44,ALB,2007,13.7767869908
45,ALB,2008,13.777387875599999
46,ALB,2009,13.778169399600001
47,ALB,2010,13.7763678603
48,ALB,2011,13.785086518199996
49,ALB,2012,13.797321193100002
50,ALB,2013,13.810982398599998
51,ALB,2014,13.820380545699999
52,ALB,2015,13.847345479400001
53,ALB,2016,13.8544395295
54,DZA,1990,16.3560561768
55,DZA,1991,16.3661246962
56,DZA,1992,16.3628228408
57,DZA,1993,16.3754220955
58,DZA,1994,16.3821533747
59,DZA,1995,16.385431516900002
60,DZA,1996,16.3912731601
61,DZA,1997,16.391299945300002
62,DZA,1998,16.396242050999998
63,DZA,1999,16.3956575184
64,DZA,2000,16.4102896011
65,DZA,2001,16.4175900167
66,DZA,2002,16.4279442849
67,DZA,2003,16.428926174100003
68,DZA,2004,16.4321443663
69,DZA,2005,16.441542045
70,DZA,2006,16.4430077964
71,DZA,2007,16.435576549100002
72,DZA,2008,16.4391909502
73,DZA,2009,16.4305642402
74,DZA,2010,16.438790553300002
75,DZA,2011,16.451096423699997
76,DZA,2012,16.4669170872
77,DZA,2013,16.469246448499998
78,DZA,2014,16.4878807807
79,DZA,2015,16.5080082781
80,DZA,2016,16.521025600999998
81,ASM,1990,13.285706046900001
82,ASM,1991,13.2932521531
83,ASM,1992,13.2996647618
84,ASM,1993,13.3039822173
85,ASM,1994,13.2977682029
86,ASM,1995,13.311661394800003
87,ASM,1996,13.3177598123
88,ASM,1997,13.3123467524
89,ASM,1998,13.314996094000001
90,ASM,1999,13.325607586199999
91,ASM,2000,13.330779028699999
92,ASM,2001,13.3324265438
93,ASM,2002,13.339151342000001
