,Code,Year,Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Percent) (%)
0,AFG,1990,4.42654081684
1,AFG,1991,4.42224343131
2,AFG,1992,4.425022385199999
3,AFG,1993,4.42585404063
4,AFG,1994,4.425464624680001
5,AFG,1995,4.428458663450001
6,AFG,1996,4.42865759874
7,AFG,1997,4.42981048241
8,AFG,1998,4.4336380690400015
9,AFG,1999,4.43228944964
10,AFG,2000,4.4369643749400005
11,AFG,2001,4.43028508976
12,AFG,2002,4.42808980643
13,AFG,2003,4.42222184568
14,AFG,2004,4.42144982095
15,AFG,2005,4.42052735335
16,AFG,2006,4.4202567121500005
17,AFG,2007,4.42026748694
18,AFG,2008,4.418743600269999
19,AFG,2009,4.4141712355200005
20,AFG,2010,4.41798621259
21,AFG,2011,4.41355727425
22,AFG,2012,4.40931411641
23,AFG,2013,4.40515294648
24,AFG,2014,4.406684616630001
25,AFG,2015,4.3990098060200005
26,AFG,2016,4.40472749745
27,ALB,1990,2.3699544703799997
28,ALB,1991,2.3710296792700003
29,ALB,1992,2.3791867744
30,ALB,1993,2.38505353508
31,ALB,1994,2.3905545577700003
32,ALB,1995,2.3961540666300003
33,ALB,1996,2.39950260956
34,ALB,1997,2.39996248816
35,ALB,1998,2.4063389109599997
36,ALB,1999,2.40905805457
37,ALB,2000,2.4102255906
38,ALB,2001,2.4172035305
39,ALB,2002,2.42045051316
40,ALB,2003,2.4297313873
41,ALB,2004,2.43367238326
42,ALB,2005,2.44388965776
43,ALB,2006,2.4430164589700003
44,ALB,2007,2.4369426455400003
45,ALB,2008,2.4323469597700003
46,ALB,2009,2.43007619036
47,ALB,2010,2.42881521768
48,ALB,2011,2.43096289745
49,ALB,2012,2.43378567807
50,ALB,2013,2.4378043253099997
51,ALB,2014,2.44155044578
52,ALB,2015,2.4502371413999997
53,ALB,2016,2.4508833198900004
54,DZA,1990,4.04564994449
55,DZA,1991,4.02560243743
56,DZA,1992,4.010977361469999
57,DZA,1993,3.99425713423
58,DZA,1994,3.9883250440800007
59,DZA,1995,3.9750153031999997
60,DZA,1996,3.96255772238
61,DZA,1997,3.9596476394199995
62,DZA,1998,3.95854009434
63,DZA,1999,3.94795878079
64,DZA,2000,3.953100509400001
65,DZA,2001,3.9466781370199997
66,DZA,2002,3.94897365497
67,DZA,2003,3.9475054228900004
68,DZA,2004,3.94756228852
69,DZA,2005,3.948997871470001
70,DZA,2006,3.9381861765599995
71,DZA,2007,3.91822410666
72,DZA,2008,3.90905112847
73,DZA,2009,3.89407975477
74,DZA,2010,3.88842512964
75,DZA,2011,3.8985663675
