,Code,Year,"Suicide rate (deaths per 100,000)","Mental and substance use disorder rate (number suffering per 100,000)"
0,AFG,1800,,
1,AFG,1820,,
2,AFG,1870,,
3,AFG,1913,,
4,AFG,1950,,
5,AFG,1951,,
6,AFG,1952,,
7,AFG,1953,,
8,AFG,1954,,
9,AFG,1955,,
10,AFG,1956,,
11,AFG,1957,,
12,AFG,1958,,
13,AFG,1959,,
14,AFG,1960,,
15,AFG,1961,,
16,AFG,1962,,
17,AFG,1963,,
18,AFG,1964,,
19,AFG,1965,,
20,AFG,1966,,
21,AFG,1967,,
22,AFG,1968,,
23,AFG,1969,,
24,AFG,1970,,
25,AFG,1971,,
26,AFG,1972,,
27,AFG,1973,,
28,AFG,1974,,
29,AFG,1975,,
30,AFG,1976,,
31,AFG,1977,,
32,AFG,1978,,
33,AFG,1979,,
34,AFG,1980,,
35,AFG,1981,,
36,AFG,1982,,
37,AFG,1983,,
38,AFG,1984,,
39,AFG,1985,,
40,AFG,1986,,
41,AFG,1987,,
42,AFG,1988,,
43,AFG,1989,,
44,AFG,1990,9.2108771712,17465.768353400003
45,AFG,1991,9.34400012047,17511.1235533
46,AFG,1992,9.46905291279,17577.0974012
47,AFG,1993,9.58103196455,17627.631459599994
48,AFG,1994,9.778654696919999,17683.5738634
49,AFG,1995,9.89328485638,17745.903784000002
50,AFG,1996,9.979826294610001,17761.5176452
51,AFG,1997,10.0536904722,17772.001245400003
52,AFG,1998,10.1366249909,17780.823547300002
53,AFG,1999,10.1717166351,17799.3799842
54,AFG,2000,10.263788797,17824.739698600002
55,AFG,2001,10.2030626226,17795.0044893
56,AFG,2002,10.2305811907,17782.658063599996
57,AFG,2003,10.3300149658,17772.4964353
58,AFG,2004,10.3822642285,17758.971348599996
59,AFG,2005,10.4526924488,17753.4880864
60,AFG,2006,10.4423013367,17723.2285964
61,AFG,2007,10.3812499092,17693.809289099998
62,AFG,2008,10.3427788071,17655.601536000002
63,AFG,2009,10.289540971100001,17627.4493908
64,AFG,2010,10.1513422593,17607.708280900002
65,AFG,2011,10.0869814124,17571.9631933
