,Country,Percent
0,ABW,56.958999999999996
1,AFG,75.413
2,AGO,37.269
3,ALB,43.577
4,AND,11.559000000000001
5,ARB,42.4423947
6,ARE,14.625
7,ARG,8.623
8,ARM,36.888000000000005
9,ASM,12.712
10,ATG,74.825
11,AUS,14.398
12,AUT,42.474
13,AZE,45.578
14,BDI,88.22399999999999
15,BEL,2.167
16,BEN,54.833999999999996
17,BFA,73.066
18,BGD,66.465
19,BGR,26.349
20,BHR,11.085
21,BHS,17.332
22,BIH,53.16
23,BLR,23.307
24,BLZ,54.665
25,BMU,0.0
26,BOL,31.953000000000003
27,BRA,14.508
28,BRB,68.672
29,BRN,23.668000000000003
30,BTN,62.082
31,BWA,33.632
32,CAF,60.041000000000004
33,CAN,18.782
34,CEB,37.88635486
35,CHE,26.304000000000002
36,CHI,69.005
37,CHL,12.697000000000001
38,CHN,45.74100000000001
39,CIV,50.986000000000004
40,CMR,46.023999999999994
41,COD,57.82
42,COG,34.915
43,COL,20.585
44,COM,71.66199999999999
45,CPV,36.19
46,CRI,24.059
47,CSS,49.29748155
48,CUB,23.139
49,CUW,10.557
50,CYM,0.0
51,CYP,32.969
52,CZE,26.616
53,DEU,22.81
54,DJI,22.686
55,DMA,30.72
56,DNK,12.59
57,DOM,22.33
58,DZA,29.779
59,EAP,48.30859583
60,EAR,56.39388188
61,EAS,44.44264894
62,ECA,33.75267048
63,ECS,28.56488288
64,ECU,36.739000000000004
65,EGY,57.161
66,EMU,23.87186202
67,ERI,
68,ESP,20.634
69,EST,31.730999999999998
70,ETH,81.002
71,EUU,25.18268412
72,FCS,60.14408499
73,FIN,14.825
74,FJI,45.784
75,FRA,20.605999999999998
76,FRO,58.498999999999995
77,FSM,77.601
78,GAB,12.349
79,GBR,17.635
80,GEO,42.933
81,GHA,46.581
82,GIB,0.0
83,GIN,65.164
84,GMB,41.472
85,GNB,58.285
86,GNQ,29.916999999999998
87,GRC,22.298000000000002
88,GRD,64.062
89,GRL,14.187000000000001
90,GTM,50.36600000000001
91,GUM,5.551
92,GUY,73.586
93,HIC,18.99496945
94,HKG,0.0
95,HND,45.486000000000004
96,HPC,65.85685011
97,HRV,44.077
98,HTI,48.556000000000004
99,HUN,29.773000000000003
100,IBD,47.41138816
101,IBT,51.71638306
102,IDA,64.91933538
103,IDB,59.38235702
104,IDN,47.365
105,IDX,67.66056147
106,IMN,47.838
107,IND,67.616
108,INX,
109,IRL,37.66
110,IRN,27.17
111,IRQ,30.241999999999997
112,ISL,6.332999999999999
113,ISR,7.896
114,ITA,30.728
115,JAM,45.416000000000004
116,JOR,10.0
117,JPN,8.696
118,KAZ,42.882
119,KEN,74.779
120,KGZ,64.365
121,KHM,78.20100000000001
122,KIR,49.227
123,KNA,69.115
124,KOR,18.293
125,KWT,0.0
126,LAC,21.51877924
127,LAO,67.513
128,LBN,12.052999999999999
129,LBR,50.603
130,LBY,20.991
131,LCA,81.518
132,LCN,20.36520728
133,LDC,68.53069482
134,LIC,68.79805125
135,LIE,85.68700000000001
136,LKA,81.782
137,LMC,61.45129962
138,LMY,52.13038668
139,LSO,73.498
